ManagerID,ManagerName,ManagerRole,TeamSize,Workload,Communication,Support,LearningCulture,RewardFairness,DecisionSpeed,Stress,Burnout,TurnoverIntent,EmployeeEngagementScore
M00001,James Brown,HR Manager,14.3510458471091,0.6382922453010593,0.8872402747307422,0.8003895352171021,0.7957564787044534,0.5979798299535549,0.6051499173822231,0.7269318413865837,0.6634545428915177,0.6263267004147509,64.02522153747184
M00002,Priya Silva,Department Head,19.37406949134419,0.6792877934198887,0.5824524011473867,0.5678008615311188,0.5304713879124144,0.7612830018414498,0.4217484000772392,0.7963431718936033,0.7960991461323343,0.703692826053149,31.51454722733457
M00003,James Zhang,Team Lead,5.93634689854313,0.46791708311165164,0.8208698237042268,0.7464434721767446,0.5991908820082369,0.758634737356596,0.6732854631067788,0.629717836672419,0.6022487998628896,0.5602099036870748,64.25729019572297
M00004,Omar Kumar,Team Lead,6.221495675058164,0.4798167838909778,0.8526666249934798,0.8836692657948519,0.7400638028284775,0.8463784704580024,0.7645847478876043,0.6066887682393692,0.6128332499855447,0.5290155016243048,77.77890929657457
M00005,Sara Zhang,Project Manager,12.430158789689463,0.8852271212756799,0.6891352292539954,0.5092267254757125,0.7533791632500489,0.5349944691254632,0.4039218156661598,0.9540886684128854,0.9645537742246877,0.7316922296664543,23.16392527336898
M00006,Alice Patel,Project Manager,9.90221037784825,0.7691545019524784,0.7257618909329041,0.5615465660376149,0.6985571139674639,0.7844130214903478,0.4965629897850945,0.7713068754571052,0.7367713448938026,0.6099235955659197,46.357781605254424
M00007,Raj Brown,Project Manager,8.338879040771339,0.8510212162373768,0.3920159236062022,0.6855314950871629,0.7052639372245063,0.43070377319375325,0.7353190675030579,0.922724785559987,0.8696937349544166,0.7345716018429372,20.133194892427543
M00008,Luis Chen,Team Lead,8.428028779401673,0.40003862303119875,0.7528126563217753,0.9073772195528549,0.6276547096783268,0.6128285908064245,0.7004915395557582,0.46181629772274435,0.5515981854935308,0.5435635261771554,73.41247050408035
M00009,Raj Lopez,Team Lead,9.408677202295191,0.604270512824048,0.8724018445550354,,0.6584747163219125,0.570091410119379,0.6953981923502701,0.7298394341004194,0.6209701457043751,0.5336390384582537,61.95481313562598
M00010,Raj Ali,Team Lead,9.75642799630999,0.6886700175100537,0.8958544083022333,0.8981423551718101,0.4544013726951753,0.7307691035704524,0.5837702738934538,0.8064179929334824,0.7822227145180356,0.6828326717233598,54.6591854037805
M00011,Mei Kumar,Project Manager,10.287178801522021,0.8927133308829398,0.5893218530650696,0.5649599710627153,0.6854511160177226,0.41814948967446086,0.651610246689109,0.8105267250670131,0.889122907448501,0.7368308069726142,24.34893133130517
M00012,Carlos Garcia,Department Head,27.82394552953824,0.6972062806628541,0.3771710519101428,0.5778561651092513,0.8227930940166548,0.701202071377155,0.7889413488993944,0.699718982990437,0.7512472293657285,0.6399342212687862,36.8706005298798
M00013,Sara Patel,Team Lead,7.537248085019923,0.6657334170872464,,0.7523534634967872,0.8028721770588041,0.4298913634317636,0.7869307980647777,0.7020320003900576,0.7348196253913113,0.6610701711364207,54.58571845878435
